Name: Motor2
Unit: Hz
date,Frequency
2020-05-10 01:17:30,35.1867
2020-05-10 01:22:30,35.1905
2020-05-10 01:27:30,35.1896
2020-05-10 01:32:30,35.2773
2020-05-10 01:37:30,35.2885
2020-05-10 01:42:30,35.6311
2020-05-10 01:52:30,35.203
2020-05-10 01:57:30,35.173
2020-05-10 02:02:30,35.1954
2020-05-10 02:07:30,35.1906
2020-05-10 02:12:24,35.1863
2020-05-10 02:17:24,35.6918
2020-05-10 02:22:24,35.1861
2020-05-10 02:27:24,35.1881
2020-05-10 02:32:24,35.6003
2020-05-10 02:37:24,35.4725
2020-05-10 02:42:24,35.1849
2020-05-10 02:47:24,35.1912
2020-05-10 02:52:24,35.6771
2020-05-10 03:02:24,35.2226
2020-05-10 03:07:29,35.189
2020-05-10 03:12:29,35.6984
2020-05-10 03:17:29,35.1986
2020-05-10 03:22:29,35.4061
2020-05-10 03:27:29,35.2716
2020-05-10 03:32:29,35.2133
2020-05-10 03:37:29,35.336
2020-05-10 03:42:30,35.6637
2020-05-10 03:47:30,35.2495
2020-05-10 03:52:30,35.6983
2020-05-10 03:57:30,35.1856
2020-05-10 04:02:30,35.699
2020-05-10 04:07:30,35.2604
2020-05-10 04:12:29,35.1893
2020-05-10 04:17:29,35.1607
2020-05-10 04:22:29,35.1886
2020-05-10 04:27:29,35.2474
2020-05-10 04:32:29,35.6906
2020-05-10 04:37:29,35.1981
2020-05-10 04:47:30,35.6065
2020-05-10 04:52:30,35.4401
2020-05-10 04:57:30,35.4617
2020-05-10 05:02:30,35.6761
2020-05-10 05:07:30,35.2884
2020-05-10 05:12:30,35.1889
2020-05-10 05:17:30,35.6442
2020-05-10 05:22:30,35.1882
2020-05-10 05:27:30,35.1885
2020-05-10 05:32:30,35.6922
2020-05-10 05:37:30,35.1894
2020-05-10 05:42:30,35.5801
2020-05-10 05:47:30,35.686
2020-05-10 05:52:30,35.1897
2020-05-10 05:57:30,35.1875
2020-05-10 06:02:30,35.1891
2020-05-10 06:07:30,35.1895
2020-05-10 06:12:30,35.6987
2020-05-10 06:17:30,35.1885
2020-05-10 06:22:30,35.1922
2020-05-10 06:27:30,35.1895
2020-05-10 06:32:30,35.6942
2020-05-10 06:37:30,35.1879
2020-05-10 06:42:30,34.7805
2020-05-10 06:47:30,35.1887
2020-05-10 06:57:30,35.1885
2020-05-10 07:02:30,35.1872
2020-05-10 07:07:30,35.1896
2020-05-10 07:12:30,35.1891
2020-05-10 07:17:30,35.1894
2020-05-10 07:22:30,35.1881
2020-05-10 07:27:30,35.5292
2020-05-10 07:32:30,35.2177
2020-05-10 07:42:30,35.189
2020-05-10 07:47:30,35.3441
2020-05-10 07:52:30,35.1881
2020-05-10 07:57:30,35.2295
2020-05-10 08:02:30,35.2044
2020-05-10 08:07:30,35.1884
2020-05-10 08:12:29,35.1882
2020-05-10 08:17:29,35.4791
2020-05-10 08:22:29,35.4021
2020-05-10 08:27:30,35.6993
2020-05-10 08:32:30,35.1885
2020-05-10 08:37:30,35.1905
2020-05-10 08:42:30,35.694
2020-05-10 08:47:30,35.1912
2020-05-10 08:52:30,35.188
2020-05-10 08:57:30,35.2004
2020-05-10 09:02:30,35.1891
2020-05-10 09:07:30,35.1888
2020-05-10 09:12:29,35.1883
2020-05-10 09:17:29,35.3498
2020-05-10 09:22:29,35.1874
2020-05-10 09:27:30,35.3169
2020-05-10 09:32:30,35.1866
2020-05-10 09:37:30,34.8394
2020-05-10 09:42:30,35.6061
2020-05-10 09:47:30,35.6047
2020-05-10 09:57:30,35.2333
2020-05-10 10:02:30,35.6856
2020-05-10 10:07:30,35.1859
2020-05-10 10:12:30,35.6415
2020-05-10 10:17:30,35.1882
2020-05-10 10:22:30,35.1886
2020-05-10 10:27:30,35.6967
2020-05-10 10:37:30,35.6674
2020-05-10 10:42:30,35.4183
2020-05-10 10:47:30,35.395
2020-05-10 10:52:30,35.6893
2020-05-10 10:57:30,35.1872
2020-05-10 11:02:30,35.6746
2020-05-10 11:07:30,35.189
2020-05-10 11:12:30,35.1902
2020-05-10 11:17:15,35.1885
2020-05-10 11:22:15,35.1882
2020-05-10 11:27:15,35.1882
2020-05-10 11:32:15,35.188
2020-05-10 11:37:15,35.3096
2020-05-10 11:42:15,35.5475
2020-05-10 11:47:15,35.2146
2020-05-10 11:52:15,35.186
2020-05-10 12:07:15,35.187
2020-05-10 12:12:15,35.6978
2020-05-10 12:17:29,35.2272
2020-05-10 12:22:29,35.1869
2020-05-10 12:27:29,35.3031
2020-05-10 12:32:29,35.1865
2020-05-10 12:37:29,35.1886
2020-05-10 12:42:29,35.1877
2020-05-10 12:47:29,35.6667
2020-05-10 12:52:29,35.3602
2020-05-10 12:57:29,35.1926
2020-05-10 13:02:29,35.1865
2020-05-10 13:07:29,35.6505
2020-05-10 13:12:29,35.2273
2020-05-10 13:17:29,35.6905
2020-05-10 13:22:29,35.6917
2020-05-10 13:27:29,35.6868
2020-05-10 13:32:29,35.237
2020-05-10 13:37:29,35.3229
2020-05-10 13:42:29,35.1876
2020-05-10 13:47:29,35.693
2020-05-10 13:52:29,35.6877
2020-05-10 13:57:29,35.189
2020-05-10 14:02:29,35.674
2020-05-10 14:07:29,35.1925
2020-05-10 14:12:29,35.5319
2020-05-10 14:17:29,35.2892
2020-05-10 14:22:29,35.5815
2020-05-10 14:27:30,35.6831
2020-05-10 14:32:30,35.1882
2020-05-10 14:37:30,35.3492
2020-05-10 14:42:30,35.6202
2020-05-10 14:47:30,35.1943
2020-05-10 14:52:30,35.188
2020-05-10 14:57:30,35.6425
2020-05-10 15:02:31,35.2991
2020-05-10 15:07:31,35.6987
2020-05-10 15:12:31,35.2248
2020-05-10 15:17:31,35.2129
2020-05-10 15:22:31,35.189
2020-05-10 15:27:28,35.6923
2020-05-10 15:32:28,35.6067
2020-05-10 15:37:28,35.6102
2020-05-10 15:42:28,35.6977
2020-05-10 15:47:28,35.1983
2020-05-10 15:52:28,35.5569
2020-05-10 15:57:28,35.6623
2020-05-10 16:02:28,35.661
2020-05-10 16:07:28,35.2233
2020-05-10 16:17:28,35.3138
2020-05-10 16:22:28,35.4493
2020-05-10 16:27:32,35.632
2020-05-10 16:32:32,35.2145
2020-05-10 16:37:32,35.2093
2020-05-10 16:42:32,35.1975
2020-05-10 16:47:32,35.1884
2020-05-10 16:52:32,35.1981
2020-05-10 16:57:32,35.1875
2020-05-10 17:02:32,35.1857
2020-05-10 17:07:32,35.2942
2020-05-10 17:12:32,35.6831
2020-05-10 17:17:32,35.6872
2020-05-10 17:22:32,35.6561
2020-05-10 17:27:31,35.2389
2020-05-10 17:32:31,35.692
2020-05-10 17:37:31,35.6969
2020-05-10 17:42:31,35.5745
2020-05-10 17:47:31,35.2239
2020-05-10 17:52:31,35.2016
2020-05-10 17:57:31,35.6951
2020-05-10 18:02:31,35.1985
2020-05-10 18:07:31,35.3983
2020-05-10 18:12:31,35.2234
2020-05-10 18:17:31,35.5367
2020-05-10 18:22:31,35.1871
2020-05-10 18:27:31,35.6693
2020-05-10 18:32:31,35.691
2020-05-10 18:37:31,35.69
2020-05-10 18:42:31,35.6841
2020-05-10 18:47:31,35.6962
2020-05-10 18:52:31,35.1896
2020-05-10 18:57:31,35.6829
2020-05-10 19:02:31,35.6979
2020-05-10 19:07:31,35.3432
2020-05-10 19:12:31,35.6881
2020-05-10 19:17:31,35.6962
2020-05-10 19:22:31,35.1995
2020-05-10 19:27:31,35.2168
2020-05-10 19:32:31,35.3161
2020-05-10 19:37:31,35.2982
2020-05-10 19:42:31,35.1859
2020-05-10 19:47:31,35.5054
2020-05-10 19:52:31,35.6205
2020-05-10 19:57:31,35.1884
2020-05-10 20:02:31,35.6134
2020-05-10 20:07:31,35.3659
2020-05-10 20:12:31,35.5665
2020-05-10 20:17:31,35.272
2020-05-10 20:22:31,35.2507
2020-05-10 20:27:31,35.6146
2020-05-10 20:32:31,35.1888
2020-05-10 20:37:31,35.6898
2020-05-10 20:42:31,35.6795
2020-05-10 20:47:31,35.2413
2020-05-10 20:52:31,35.6954
2020-05-10 20:57:31,35.6996
2020-05-10 21:02:31,35.6011
2020-05-10 21:07:31,35.1915
2020-05-10 21:12:31,35.2156
2020-05-10 21:17:31,35.1869
2020-05-10 21:22:31,35.6888
2020-05-10 21:27:32,35.1948
2020-05-10 21:32:32,35.199
2020-05-10 21:37:32,35.2348
2020-05-10 21:42:32,35.6988
2020-05-10 21:47:32,35.1877
2020-05-10 21:52:32,35.313
2020-05-10 21:57:33,35.5407
2020-05-10 22:02:33,35.6042
2020-05-10 22:07:33,35.1887
2020-05-10 22:12:33,35.1836
2020-05-10 22:17:33,35.4152
2020-05-10 22:22:33,35.6241
2020-05-10 22:27:32,35.1884
2020-05-10 22:32:32,35.2247
2020-05-10 22:37:32,35.6946
2020-05-10 22:42:32,35.398
2020-05-10 22:47:32,35.2681
2020-05-10 22:52:32,35.6703
2020-05-10 23:02:32,35.5785
2020-05-10 23:07:32,35.3915
2020-05-10 23:12:32,35.6422
2020-05-10 23:22:32,35.6977
2020-05-10 23:27:32,35.2211
2020-05-10 23:32:32,35.6802
2020-05-10 23:37:32,35.686
2020-05-10 23:42:32,35.6832
2020-05-10 23:47:32,35.6652
2020-05-10 23:52:32,35.6957
2020-05-10 23:57:32,35.3655
2020-05-11 00:02:32,35.6982
2020-05-11 00:07:32,35.6981
2020-05-11 00:12:32,35.6741
2020-05-11 00:17:32,35.1881
2020-05-11 00:22:32,35.699
2020-05-11 00:27:32,35.1873
2020-05-11 00:32:32,35.2663
2020-05-11 00:37:32,35.6971
2020-05-11 00:42:32,35.6966
2020-05-11 00:47:32,35.1876
2020-05-11 00:52:32,35.6985
2020-05-11 00:57:32,35.185
2020-05-11 01:02:32,35.2293
2020-05-11 01:07:32,35.3479
2020-05-11 01:12:32,35.4758
2020-05-11 01:17:32,35.699
2020-05-11 01:22:32,35.6766
2020-05-11 01:27:31,35.6446
2020-05-11 01:32:31,35.2886
2020-05-11 01:37:31,35.1946
2020-05-11 01:42:31,35.6779
2020-05-11 01:47:31,35.6967
2020-05-11 01:52:31,35.6458
2020-05-11 01:57:31,35.6295
2020-05-11 02:02:31,35.1916
2020-05-11 02:07:31,35.1912
2020-05-11 02:12:31,35.2078
2020-05-11 02:17:31,35.6956
2020-05-11 02:22:31,35.6961
2020-05-11 02:27:31,35.6968
2020-05-11 02:32:31,35.6958
2020-05-11 02:37:31,35.6812
2020-05-11 02:42:31,35.6982
2020-05-11 02:47:31,35.3098
2020-05-11 02:52:31,35.201
2020-05-11 02:57:31,35.6989
2020-05-11 03:02:31,35.5182
2020-05-11 03:07:31,35.2669
2020-05-11 03:12:31,35.696
2020-05-11 03:17:31,35.6102
2020-05-11 03:22:31,35.505
2020-05-11 03:27:32,35.1862
2020-05-11 03:32:32,35.5177
2020-05-11 03:37:32,35.6806
2020-05-11 03:42:32,35.6867
2020-05-11 03:47:32,35.6962
2020-05-11 03:52:32,35.6988
2020-05-11 03:57:32,35.6989
2020-05-11 04:02:32,35.2134
2020-05-11 04:07:32,35.6977
2020-05-11 04:12:32,35.7025
2020-05-11 04:17:32,35.696
2020-05-11 04:22:32,35.6987
2020-05-11 04:27:32,35.1893
2020-05-11 04:32:32,35.6962
2020-05-11 04:37:32,35.6973
2020-05-11 04:42:32,35.6981
2020-05-11 04:47:32,35.6986
2020-05-11 04:52:32,35.3662
2020-05-11 04:57:32,35.6989
2020-05-11 05:02:32,35.6984
2020-05-11 05:07:32,35.199
2020-05-11 05:12:32,35.6579
2020-05-11 05:17:32,35.3535
2020-05-11 05:22:32,35.4251
2020-05-11 05:27:31,35.6975
2020-05-11 05:32:31,36.0963
2020-05-11 05:37:31,35.6965
2020-05-11 05:42:31,35.699
2020-05-11 05:47:31,35.6981
2020-05-11 05:52:31,35.5821
2020-05-11 05:57:31,35.6763
2020-05-11 06:02:31,35.3372
2020-05-11 06:07:31,35.5351
2020-05-11 06:12:31,35.3744
2020-05-11 06:17:31,35.6987
2020-05-11 06:22:31,35.6984
2020-05-11 06:27:30,35.697
2020-05-11 06:32:30,35.1874
2020-05-11 06:37:30,35.1868
2020-05-11 06:42:30,36.1546
2020-05-11 06:47:30,35.2509
2020-05-11 06:52:30,35.6418
2020-05-11 06:57:30,35.6985
2020-05-11 07:02:30,35.2048
2020-05-11 07:07:31,35.1983
2020-05-11 07:12:31,35.5199
2020-05-11 07:17:31,35.6968
2020-05-11 07:22:31,35.688
2020-05-11 07:27:32,35.6606
2020-05-11 07:32:32,35.2194
2020-05-11 07:37:32,35.6997
2020-05-11 07:42:32,35.4456
2020-05-11 07:47:32,35.6978
2020-05-11 07:52:32,35.1879
2020-05-11 07:57:32,35.6982
2020-05-11 08:02:32,35.6976
2020-05-11 08:07:32,35.6048
2020-05-11 08:12:32,35.6979
2020-05-11 08:17:32,35.8026
2020-05-11 08:22:32,35.4084
2020-05-11 08:27:32,35.6955
2020-05-11 08:32:32,35.6934
2020-05-11 08:37:32,35.6484
2020-05-11 08:42:32,35.6153
2020-05-11 08:47:33,35.1934
2020-05-11 08:52:33,35.6981
2020-05-11 08:57:33,35.6963
2020-05-11 09:02:33,35.6975
2020-05-11 09:07:33,35.319
2020-05-11 09:12:33,35.1896
2020-05-11 09:17:33,35.6934
2020-05-11 09:22:33,35.5582
2020-05-11 09:27:33,35.6427
2020-05-11 09:32:33,35.1982
2020-05-11 09:37:33,35.1928
2020-05-11 09:42:33,35.3237
2020-05-11 09:47:33,35.1874
2020-05-11 09:52:33,35.6994
2020-05-11 09:57:33,35.6523
2020-05-11 10:02:33,35.6956
2020-05-11 10:07:33,35.6995
2020-05-11 10:12:33,35.697
2020-05-11 10:17:33,35.6992
2020-05-11 10:22:33,35.1875
2020-05-11 10:27:32,35.351
2020-05-11 10:32:32,35.6973
2020-05-11 10:37:32,35.3042
2020-05-11 10:42:32,35.4836
2020-05-11 10:47:32,35.1963
2020-05-11 10:52:32,35.1977
2020-05-11 10:57:32,35.2024
2020-05-11 11:02:32,35.678
2020-05-11 11:07:32,35.189
2020-05-11 11:12:32,35.195
2020-05-11 11:17:32,35.1985
2020-05-11 11:22:32,35.1892
2020-05-11 11:27:32,35.1943
2020-05-11 11:32:32,35.1892
2020-05-11 11:37:32,35.2256
2020-05-11 11:42:32,35.5612
2020-05-11 11:47:32,35.189
2020-05-11 11:52:32,34.8194
2020-05-11 11:57:32,35.3291
2020-05-11 12:02:32,35.6665
2020-05-11 12:07:32,35.223
2020-05-11 12:12:32,35.1888
2020-05-11 12:17:32,35.375
2020-05-11 12:22:32,35.188
2020-05-11 12:27:32,35.6985
2020-05-11 12:32:32,35.1896
2020-05-11 12:37:32,35.6988
2020-05-11 12:42:32,35.5379
2020-05-11 12:47:32,35.2172
2020-05-11 12:52:32,35.4119
2020-05-11 12:57:32,35.2207
2020-05-11 13:02:32,35.1882
2020-05-11 13:07:32,35.6992
2020-05-11 13:12:32,35.1896
2020-05-11 13:17:32,35.2537
2020-05-11 13:22:32,35.4173
2020-05-11 13:27:32,35.196
2020-05-11 13:32:33,35.19
2020-05-11 13:37:33,35.1888
2020-05-11 13:42:33,35.6998
2020-05-11 13:47:33,35.1976
2020-05-11 13:52:33,35.2347
2020-05-11 13:57:33,35.6462
2020-05-11 14:02:33,35.1892
2020-05-11 14:07:33,35.247
2020-05-11 14:12:33,35.189
2020-05-11 14:17:33,35.1941
2020-05-11 14:22:33,35.1881
2020-05-11 14:27:32,35.1899
2020-05-11 14:32:32,35.205
2020-05-11 14:37:32,35.1892
2020-05-11 14:42:32,35.1894
2020-05-11 14:47:32,35.3319
2020-05-11 14:52:32,35.1901
2020-05-11 14:57:32,35.19
2020-05-11 15:02:32,35.1889
2020-05-11 15:07:32,35.1898
2020-05-11 15:12:32,35.1891
2020-05-11 15:17:32,35.1896
2020-05-11 15:22:32,35.1893
2020-05-11 15:27:32,34.7225
2020-05-11 15:32:32,35.1289
2020-05-11 15:37:32,35.1896
2020-05-11 15:42:32,34.68
2020-05-11 15:47:32,35.1732
2020-05-11 15:52:32,35.1912
2020-05-11 15:57:32,35.1887
2020-05-11 16:02:32,35.0252
2020-05-11 16:07:04,0.0
2020-05-11 16:07:34,35.1895
2020-05-11 17:07:29,34.7366
2020-05-11 18:07:34,35.1695
2020-05-11 19:07:34,34.677
2020-05-11 20:07:34,34.4271
2020-05-11 21:07:23,34.221
2020-05-11 22:07:34,34.2127
2020-05-11 23:07:34,34.1831
2020-05-12 00:07:34,34.1828
2020-05-12 01:07:34,34.6716
2020-05-12 02:07:34,34.6797
2020-05-12 03:07:34,34.1985
2020-05-12 04:07:35,34.2334
2020-05-12 05:07:35,34.211
2020-05-12 06:07:34,34.2185
